證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1903,士紙,"204,204",138,"10,804,960",52.4,53.6,52.3,53.2,+,0.8,53.2,2,53.5,1,"1,330.00"
1904,正隆,"2,599,704","1,653","107,331,276",41.05,41.8,40.7,41.7,+,0.4,41.7,6,41.75,8,11.36
1905,華紙,"20,722,383","8,773","499,764,238",24.15,24.7,23.6,24.5,+,0.15,24.45,23,24.5,169,"2,450.00"
1906,寶隆,"287,012",167,"5,577,721",19.4,19.7,19.15,19.55,+,0.15,19.55,14,19.6,2,29.62
1907,永豐餘,"11,654,414","5,512","451,512,882",38.4,39.15,38.1,39.1,+,0.85,39.05,122,39.1,2,10.6
1909,榮成,"11,398,805","4,743","270,748,800",23.5,24.2,23.2,24.05,+,0.6,24,145,24.05,17,23.58
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
2002,中鋼,"191,210,116","60,613","7,068,863,350",37.4,37.7,36.2,37.35,+,0.4,37.35,261,37.4,"1,925",46.69
2002A,中鋼特,"56,016",25,"2,885,425",51.4,51.8,51.4,51.8,+,0.1,51.6,10,51.7,11,
2006,東和鋼鐵,"10,467,603","5,110","506,224,599",48.8,49.35,47.4,48.55,+,0.2,48.55,22,48.6,72,11.59
2007,燁興,"18,766,311","7,288","278,736,252",15.15,15.5,14.15,14.95,-,0.2,14.95,29,15,83,
2008,高興昌,"6,409,707","3,007","126,410,033",20.1,20.75,18.75,19.8,-,0.2,19.8,23,19.85,19,198
2009,第一銅,"72,995,647","37,303","5,133,341,212",71.7,73.7,67.8,69.8,+,0.8,69.8,201,69.9,122,63.45
2010,春源,"16,846,844","7,170","355,897,844",21.15,21.85,20.5,21.35,+,0.05,21.3,24,21.35,96,19.41
2012,春雨,"2,561,635","1,659","73,300,548",28.9,29.7,27.55,28.5,-,0.3,28.5,5,28.55,2,23.55
2013,中鋼構,"1,809,166","1,140","77,996,583",43.1,43.9,42.6,43.45,+,0.2,43.4,2,43.45,14,13.05
2014,中鴻,"247,725,609","103,427","13,192,041,139",53.4,55,50.9,53.3,+,0.9,53.3,"1,352",53.4,301,32.5
2015,豐興,"1,332,119",936,"99,050,312",76.1,76.2,73.5,74.4,-,0.8,74.4,3,74.5,11,15.56
2017,官田鋼,"18,675,584","8,122","446,290,964",23.9,25,22.85,24,+,0.3,24,34,24.05,16,35.29
2020,美亞,"9,060,409","4,512","311,367,051",34.6,35.3,33.5,34.8,+,0.25,34.75,1,34.8,32,10.67
2022,聚亨,"37,261,076","13,539","573,004,237",15.5,16.15,14.3,15.45,+,0.3,15.45,256,15.5,284,73.57
2023,燁輝,"74,686,731","26,556","1,778,636,550",23.9,24.7,23,23.85,+,0.4,23.8,359,23.85,146,20.92
2024,志聯,"557,065",368,"10,279,732",18.4,19.1,17.85,18.35,-,0.75,18.35,44,18.45,5,31.64
2025,千興,"1,014,044",182,"4,041,004",4,4,3.98,3.99,+,0.01,3.98,130,3.99,17,
2027,大成鋼,"99,075,129","40,670","4,644,290,061",46.8,48.1,44.7,47.9,+,1.9,47.9,338,47.95,292,70.44
2028,威致,"28,230,639","12,475","1,103,383,284",38,40.55,37.05,40.55,+,3.65,40.55,"17,799",--,0,15.42
2029,盛餘,"7,865,270","3,663","273,359,208",34,35.85,33.1,35.85,+,1.7,35.85,17,35.9,41,21.86
2030,彰源,"10,846,610","4,005","221,822,189",20.6,21.1,19.8,20.8,+,0.55,20.8,170,20.85,132,20.59
2031,新光鋼,"19,026,757","9,990","1,233,825,782",65.8,66.8,62.5,65.6,+,1.4,65.5,164,65.6,11,13.02
2032,新鋼,"3,220,164","1,509","66,361,880",20.9,21.05,20,20.85,+,0.4,20.8,2,20.85,1,22.66
2033,佳大,"3,350,821","1,574","59,542,989",17.3,18.5,16.8,18.4,+,1.3,18.4,1,18.45,3,73.6
2034,允強,"7,537,630","3,336","243,051,522",32.15,33.1,31.5,32.3,+,0.1,32.25,5,32.3,110,29.63
2038,海光,"91,848,483","38,276","3,675,028,642",39,41.55,37.3,41.55,+,3.75,41.55,"1,718",--,0,34.34
2069,運錩,"4,749,340","2,313","118,718,774",24.45,25.75,23.55,25.55,+,1.45,25.5,16,25.55,19,17.38
2211,長榮鋼,"1,187,446",963,"63,843,571",54.3,55.1,53,53.9,-,0.9,53.9,7,54,17,21.39
3004,豐達科,"52,595",49,"2,964,205",56.5,56.8,55.8,56.8,+,0.6,56.6,4,57,2,
5007,三星,"59,862",65,"3,624,886",60.1,61.3,60.1,60.9,+,0.2,60.4,6,60.9,13,27.81
5538,東明-KY,"117,000",70,"5,141,100",44.45,44.8,42.8,44,+,0.7,44,3,44.35,1,10.86
9958,世紀鋼,"4,052,666","2,467","458,036,545",111.5,114.5,111.5,113.5,+,3,113.5,6,114,202,24.57
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
2101,南港,"711,793",414,"27,228,844",38.1,38.5,38.1,38.5,+,0.4,38.45,2,38.5,1,26.19
2102,泰豐,"4,096,726","1,815","111,360,793",27.2,27.75,26.55,27.75,+,0.55,27.7,57,27.75,13,
2103,台橡,"15,660,902","5,768","476,621,929",31.3,31.4,29.95,30.4,-,0.65,30.4,174,30.45,14,30.71
2104,國際中橡,"28,101,505","11,291","749,552,597",27.65,27.8,26,26.25,-,0.95,26.25,63,26.3,14,21.34
2105,正新,"2,324,515","1,374","108,913,554",47,47.2,46.4,47,+,0.35,46.95,15,47,198,15.56
2106,建大,"766,933",562,"31,317,643",40.6,41.25,40.25,40.95,+,0.5,40.9,4,41,9,17.06
2107,厚生,"894,610",419,"21,782,924",24.35,24.6,24.1,24.5,+,0.4,24.5,26,24.55,9,9.72
2108,南帝,"9,447,140","6,232","1,272,321,179",132.5,137,131,137,+,6,136.5,92,137,146,11.49
2109,華豐,"411,784",214,"7,782,867",18.85,19.3,18.65,19,+,0.15,19,5,19.05,4,12.03
2114,鑫永銓,"48,207",34,"5,816,754",119.5,121,119.5,120.5,+,1,120.5,2,121,34,15.81
6582,申豐,"1,603,748","1,409","460,985,192",282.5,292,280.5,292,+,11.5,292,10,292.5,7,11.51
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1319,東陽,"1,254,093",759,"42,166,835",33.2,34.35,33.05,34.1,+,1,34.05,20,34.1,77,29.15
1338,廣華-KY,"403,351",334,"25,833,151",63.3,64.7,63,64.7,+,1.8,64.6,17,64.7,2,12.84
1339,昭輝,"215,000",182,"8,146,650",37.9,38.2,37.75,37.95,+,0.05,37.8,8,37.95,7,26.54
1512,瑞利,"26,031",27,"118,505",4.52,4.68,4.51,4.68,+,0.08,4.62,2,4.68,4,
1521,大億,"74,337",63,"3,295,445",44.2,44.7,44,44.6,+,0.4,44.6,1,44.7,6,29.15
1522,堤維西,"446,978",243,"9,770,797",21.9,22.05,21.5,22,+,0.4,22,2,22.05,7,24.72
1524,耿鼎,"299,954",138,"3,006,344",10,10.1,9.98,10.05,+,0.12,10.05,8,10.1,27,62.81
1525,江申,"82,072",73,"5,399,468",65.4,66.5,65.3,66,+,1,66,3,66.2,22,12.24
1533,車王電,"393,022",295,"22,521,682",56.6,58,56.5,57.1,+,0.5,57.1,1,57.2,3,67.98
1536,和大,"479,761",452,"45,457,450",94.6,95.5,94.3,94.7,+,0.8,94.6,4,94.7,4,133.38
1568,倉佑,"615,364",446,"16,018,499",25.35,26.3,25.35,26.1,+,0.75,26.05,3,26.1,2,93.21
1587,吉茂,"151,040",103,"4,248,684",28,28.3,27.95,28.2,+,0.2,28.15,1,28.25,2,9.62
1592,英瑞-KY,"546,000",92,"1,589,920",3.03,3.03,2.88,2.91,-,0.02,2.91,9,2.95,9,
2115,六暉-KY,"62,444",53,"2,941,118",47,47.4,47,47.1,+,0.2,47.05,3,47.15,2,6.48
2201,裕隆,"2,967,487","1,467","118,099,286",39.5,40.15,39.3,40.1,+,0.65,40.1,34,40.15,40,10.15
2204,中華,"2,827,502","1,542","196,845,010",68.7,70.8,68.4,70.2,+,1.6,70.2,1,70.3,3,9.83
2206,三陽工業,"1,385,485",736,"39,011,842",28,28.4,27.95,28.3,+,0.35,28.25,12,28.3,5,11.79
2207,和泰車,"96,418",192,"54,473,193",567,571,562,565,-,5,565,1,566,2,20.06
2227,裕日車,"50,972",100,"13,578,024",266.5,267,265.5,267,+,0.5,266.5,3,267,9,11.17
2228,劍麟,"106,134",88,"7,633,858",71.6,72.3,71.5,71.7,+,0.2,71.7,1,71.8,1,54.32
2231,為升,"595,220",534,"121,034,814",203,206,201,201.5,+,0.5,201.5,2,202.5,2,69.97
2233,宇隆,"1,258,643","1,086","142,350,955",108,117,108,115.5,+,8,115.5,10,116,21,16.29
2236,百達-KY,"39,570",21,"963,793",24.5,24.5,24,24.4,-,0.1,24.4,2,24.5,6,20
2239,英利-KY,"120,132",108,"11,122,374",91.2,93.5,91.2,93,+,1.8,93,2,93.2,1,15
2241,艾姆勒,"115,000",98,"6,177,100",53,54.2,53,53.6,+,0.8,53.4,3,53.6,8,
2243,宏旭-KY,"13,000",9,"129,380",10.1,10.1,9.86,9.9,-,0.1,9.9,5,9.99,5,
2247,汎德永業,"74,336",135,"16,483,896",221.5,222,221,221.5, ,0,221.5,4,222,13,14.22
2250,IKKA-KY,"2,210,007","1,950","341,127,915",158,167.5,137.5,150,-,9,150,28,150.5,50,20.66
2497,怡利電,"291,182",193,"8,658,779",29.5,30.3,29.25,30.3,+,1.1,30.2,1,30.3,2,
3346,麗清,"925,578",629,"41,748,250",45,45.5,44.7,45.05,+,0.25,45,12,45.1,4,22.08
4551,智伸科,"411,585",367,"72,038,952",172.5,176.5,170.5,175,+,4.5,175,9,175.5,1,21.42
4557,永新-KY,"18,125",21,"1,164,336",64.2,64.4,63.7,64.3,+,0.5,64,1,64.3,6,18.01
4581,光隆精密-KY,"16,000",13,"590,450",36.5,37.9,36.5,37.9,+,1.65,36.65,3,37.75,1,18.4
6288,聯嘉,"1,342,214",653,"39,039,178",28.55,29.5,28.55,29.1,+,0.8,29.05,12,29.1,11,41.57
6605,帝寶,"335,074",269,"19,404,934",56.3,58.8,56.3,58.8,+,2.5,58.6,2,58.8,5,14.77
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1471,首利,"2,875,965",878,"31,076,308",10.15,11.15,10.15,11.15,+,1,11.15,588,--,0,3.62
1582,信錦,"292,301",227,"24,577,869",84.4,84.5,83.5,84.4,+,0.5,84.3,15,84.4,3,10.89
2059,川湖,"71,794",94,"27,773,961",383.5,389,383.5,389,+,5.5,384,1,389,3,32.5
2301,光寶科,"2,823,093","1,852","187,262,552",66,66.8,65.7,66.4,+,0.2,66.4,4,66.5,14,12.14
2302,麗正,"505,322",261,"9,145,335",18.5,18.5,17.9,18.25,+,0.15,18.2,1,18.25,13,24.01
2303,聯電,"153,776,392","54,862","8,141,177,626",53.2,54,52.2,52.2,-,0.8,52.2,"3,661",52.3,477,17.28
2305,全友,"989,776",405,"9,308,824",9.22,9.55,9.22,9.42,+,0.2,9.41,1,9.42,13,58.88
2308,台達電,"3,940,528","3,151","1,164,678,532",295,297,294.5,297,+,1,296.5,16,297,232,25.71
2312,金寶,"15,373,042","4,365","214,646,913",13.55,14.2,13.55,14.15,+,0.55,14.15,8,14.2,600,108.85
2313,華通,"13,536,886","6,133","533,783,904",39,39.95,38.9,39.45,+,1.05,39.4,87,39.45,232,10.06
2314,台揚,"11,105,585","4,911","418,332,240",35.3,38.5,35.3,38.5,+,3.5,38.5,"3,869",--,0,
2316,楠梓電,"511,919",352,"15,120,992",29.2,29.9,29.15,29.6,+,0.6,29.6,10,29.65,5,12.18
2317,鴻海,"22,421,329","14,042","2,559,926,686",114.5,115,113.5,114.5,+,1,114,"1,011",114.5,"2,056",12.41
2321,東訊,"6,001",11,"42,553",7.18,7.18,6.93,7.18, ,0,7.18,1,7.32,1,
2323,中環,"8,750,027","1,991","91,494,959",10.35,10.6,10.25,10.45,+,0.2,10.45,272,10.5,85,9.95
2324,仁寶,"7,628,259","2,964","179,167,844",23.45,23.65,23.4,23.45, ,0,23.45,615,23.5,32,8.98
2327,國巨,"5,334,060","5,733","2,683,271,268",510,510,499,500,-,5,499.5,47,500,36,15.84
2328,廣宇,"16,228,051","8,020","655,830,994",40,41.35,39.7,40.05,+,0.5,40.05,58,40.1,53,25.51
2329,華泰,"11,851,763","3,796","216,513,177",18.45,18.55,18.05,18.15,+,0.05,18.15,78,18.2,350,
2330,台積電,"18,405,285","20,318","10,985,893,229",598,599,595,598,+,1,597,74,598,648,28.68
2331,精英,"3,621,285","1,297","89,659,127",24.65,25,24.6,24.65,+,0.05,24.65,15,24.75,4,410.83
2332,友訊,"4,146,408","1,580","83,623,173",20.3,20.4,20,20.2,+,0.15,20.15,34,20.2,31,9.76
2337,旺宏,"69,310,196","28,285","3,021,848,745",43.15,44.8,42.85,43,+,0.8,43,60,43.05,26,15.87
2338,光罩,"35,978,329","20,731","3,118,810,005",85.8,89.7,84.4,84.4,-,0.1,84.4,58,84.5,5,14.04
2340,光磊,"3,401,540","1,587","91,974,764",26.95,27.35,26.85,26.95,+,0.05,26.95,50,27,27,14.26
2342,茂矽,"1,703,124","1,002","55,912,120",32.95,33.45,32.45,33,+,0.1,33,16,33.1,19,13.92
2344,華邦電,"180,022,367","62,594","6,349,215,413",35,36.4,34.4,34.5,+,0.35,34.5,381,34.55,76,46
2345,智邦,"854,599",900,"262,253,793",305,310.5,305,306.5,-,1,306.5,10,307,6,33.24
2347,聯強,"7,312,477","4,193","448,129,483",60.4,62,60.1,61.6,+,1.8,61.6,10,61.7,21,11.56
2349,錸德,"2,785,901",965,"28,168,387",10.15,10.2,10,10.15,+,0.15,10.1,172,10.15,24,
2351,順德,"7,321,764","4,475","709,451,550",96.7,98.5,94.8,98,+,0.9,98,50,98.1,9,36.7
2352,佳世達,"6,331,216","2,509","196,031,995",31.1,31.2,30.65,31.05,+,0.35,31,140,31.05,94,8.9
2353,宏碁,"16,845,126","7,391","537,475,075",32.05,32.1,31.7,31.95,+,0.05,31.95,8,32,110,11.66
2354,鴻準,"5,745,855","3,156","379,966,555",65.8,66.7,65.4,66.4,+,1.1,66.4,3,66.5,179,18.04
2355,敬鵬,"2,468,741","1,343","73,318,220",28.8,30.3,28.8,30.15,+,1.25,30.1,35,30.15,22,
2356,英業達,"6,412,583","2,196","167,358,391",26.1,26.25,25.85,26.2,+,0.35,26.15,82,26.2,38,16.58
2357,華碩,"3,207,839","3,532","1,280,738,442",399,403,395,403,+,8,402.5,4,403,41,8.44
2359,所羅門,"253,229",119,"4,326,466",17.05,17.15,17,17.15,+,0.15,17.15,2,17.2,16,50.44
2360,致茂,"383,187",368,"73,147,734",188.5,195,188.5,189,+,0.5,189,5,189.5,1,19.34
2362,藍天,"262,660",146,"7,872,911",29.9,30.05,29.9,30,+,0.1,30,21,30.05,75,15.15
2363,矽統,"13,929,638","4,908","300,090,004",21.4,21.75,21.35,21.45,+,0.25,21.45,249,21.5,73,
2364,倫飛,"168,021",48,"535,234",3.16,3.22,3.16,3.17,-,0.06,3.16,19,3.17,7,19.81
2365,昆盈,"3,847,824","1,089","49,855,850",12.85,13.15,12.7,13.05,+,0.35,13.05,47,13.1,71,16.31
2367,燿華,"6,381,270","2,711","137,328,625",21.25,21.8,21.15,21.75,+,0.8,21.75,27,21.8,237,
2368,金像電,"33,459,091","17,443","1,902,085,098",56.1,57.8,56,57.1,+,1.9,57.1,1,57.2,223,13.66
2369,菱生,"8,722,227","3,127","156,309,313",17.6,18.35,17.45,17.85,+,0.45,17.85,25,17.9,7,
2373,震旦行,"17,617",37,"1,620,289",92.3,92.3,91.8,92.1,+,0.5,91.9,5,92.1,1,13.37
2374,佳能,"404,539",223,"6,199,538",15.35,15.4,15.25,15.3,+,0.05,15.25,31,15.3,1,
2375,凱美,"3,719,926","2,400","389,913,448",105,106,103.5,105,+,0.5,104.5,95,105,29,20.47
2376,技嘉,"13,056,912","8,641","1,491,463,345",111,117,110.5,113.5,+,3.5,113.5,179,114,78,11.18
2377,微星,"6,036,378","4,271","1,022,221,540",166.5,172,164.5,171.5,+,6,171,38,171.5,10,13.32
2379,瑞昱,"1,734,810","1,836","876,487,416",501,509,500,506,+,7,505,5,506,12,25.29
2380,虹光,"3,394,150",861,"44,410,997",12.2,13.3,12.2,13.3,+,1.2,13.3,"15,227",--,0,
2382,廣達,"9,083,486","6,110","818,428,395",90.4,90.7,89.8,89.9,+,0.2,89.9,40,90,15,11.62
2383,台光電,"3,000,199","1,821","488,514,170",164,165,162,162.5,-,1.5,162.5,33,163,3,13.79
2385,群光,"14,060,625","8,869","1,131,802,098",78,82.4,77.8,81.6,+,3.8,81.6,174,81.7,42,8.19
2387,精元,"1,214,558",702,"68,683,947",55.3,57.6,55.3,56.4,+,1,56.4,5,56.5,5,7.26
2388,威盛,"4,696,504","2,919","241,672,868",51,52.5,50.5,51.5,+,2.1,51.5,52,51.6,23,3.99
2390,云辰,"40,860,063","17,096","966,301,494",24.8,25,23.1,23.8,-,1.85,23.8,217,23.85,38,3.49
2392,正崴,"1,642,701","1,061","67,126,202",40.35,41.15,40.35,41.15,+,0.95,41.15,9,41.2,33,10.11
2393,億光,"4,776,730","2,496","222,501,376",46.3,46.9,46.1,46.6,+,0.8,46.6,2,46.65,33,12.66
2395,研華,"648,609",679,"211,080,342",329,330.5,323,323,-,6.5,323,16,323.5,13,31.73
2397,友通,"8,071",12,"511,307",63.3,63.6,63.1,63.6,+,0.2,63.3,5,63.5,3,22.32
2399,映泰,"7,971,899","2,979","214,212,281",25.6,27.55,25.45,27.55,+,2.5,27.55,"41,900",--,0,20.56
2401,凌陽,"20,421,449","9,226","620,437,505",30.15,30.95,30,30.2,+,0.35,30.2,148,30.25,38,26.73
2402,毅嘉,"1,453,468",567,"25,776,193",17.5,17.9,17.5,17.75,+,0.4,17.7,15,17.8,58,34.8
2404,漢唐,"544,649",725,"125,220,837",231,232,229,229.5,-,1.5,229.5,5,230,10,10.84
2405,浩鑫,"2,253,905",843,"29,450,375",12.9,13.3,12.85,13.2,+,0.3,13.15,14,13.2,67,44
2406,國碩,"5,583,111","2,129","108,614,110",19.2,19.8,19,19.5,+,0.65,19.5,73,19.55,56,19.12
2408,南亞科,"15,322,893","8,854","1,261,810,762",82.4,84,81.2,81.3,-,0.6,81.3,16,81.4,42,29.67
2409,友達,"666,680,370","151,625","17,473,424,042",26.3,26.8,25.7,25.7,-,0.15,25.7,"4,391",25.75,284,12.07
2412,中華電,"2,107,933","1,317","239,414,178",113.5,114,113,113.5, ,0,113.5,252,114,"3,238",25.97
2413,環科,"354,190",218,"8,329,705",23.3,23.75,23.1,23.5,+,0.2,23.5,18,23.55,16,90.38
2414,精技,"296,144",235,"8,628,950",29.15,29.3,29,29.2,+,0.2,29.15,6,29.2,1,11.68
2415,錩新,"959,789",614,"37,705,967",39,39.75,38.45,39.7,+,0.75,39.65,16,39.7,12,35.77
2417,圓剛,"3,545,764","2,256","157,612,138",43.7,45.1,43.7,44.7,+,1.1,44.7,46,44.75,7,6.3
2419,仲琦,"645,750",266,"13,787,389",21.25,21.5,21.15,21.4,+,0.35,21.4,26,21.45,7,22.06
2420,新巨,"137,264",120,"5,087,552",37,37.15,37,37.15,+,0.2,37.1,10,37.15,13,12.55
2421,建準,"2,252,959","1,669","101,812,789",43.55,46,43.55,45.95,+,2.5,45.95,2,46,72,13.59
2423,固緯,"37,068",41,"882,071",23.85,23.95,23.7,23.95,+,0.25,23.75,1,23.95,20,17.11
2424,隴華,"1,548",4,"40,578",26.25,26.25,26.25,26.25,X,0,24,1,27.95,1,
2425,承啟,"1,449,199",843,"46,469,389",31.8,32.45,31.55,32.3,+,0.8,32.25,7,32.3,12,15.91
2426,鼎元,"3,501,102","1,936","95,210,764",27.1,27.6,27.05,27.1,-,0.25,27.1,26,27.15,32,13.28
2427,三商電,"155,089",72,"1,767,667",11.4,11.45,11.35,11.4,+,0.05,11.4,16,11.45,37,15.83
2428,興勤,"279,630",254,"45,800,574",164,166,161.5,162.5,-,1,162,18,163,2,13.07
2429,銘旺科,"31,434",26,"498,782",15.9,16,15.7,15.8,-,0.1,15.75,1,15.9,5,
2430,燦坤,"576,170",338,"16,023,569",27.7,28.2,27.45,28.2,+,0.5,28.2,21,28.25,12,12.37
2431,聯昌,"1,473,932",507,"21,939,077",14.95,15,14.7,14.9,+,0.1,14.85,30,14.9,13,7.88
2433,互盛電,"39,409",38,"2,074,101",52.4,52.9,52.4,52.8,+,0.5,52.8,5,52.9,2,13.57
2434,統懋,"17,915",22,"656,935",37,37,36.5,36.9,+,0.05,36.6,3,36.9,1,90
2436,偉詮電,"23,184,110","14,069","1,711,679,405",72.5,75.4,72.5,73.2,+,1.5,73.2,119,73.3,19,19.73
2438,翔耀,"103,477",66,"1,139,996",11,11.2,10.9,11,-,0.2,11,2,11.15,7,137.5
2439,美律,"1,275,753",999,"138,218,718",108,110,107,109,+,1.5,108.5,18,109,37,17.61
2440,太空梭,"905,669",524,"17,319,588",19.6,19.65,18.8,19.3,-,0.1,19.3,26,19.35,11,9.37
2441,超豐,"1,973,412","1,403","142,875,471",72.9,73,72,72.4,+,0.3,72.4,2,72.5,104,13.51
2442,新美齊,"716,437",262,"7,353,940",10.25,10.4,10.1,10.3,+,0.05,10.3,27,10.35,37,7.25
2444,兆勁,"495,488",228,"6,244,375",12.7,13,12.45,12.6, ,0,12.6,20,12.7,3,
2449,京元電子,"9,838,307","5,191","432,894,464",43.45,44.8,43.3,43.75,+,0.55,43.75,114,43.8,104,13.76
2450,神腦,"125,914",91,"4,107,729",32.55,32.7,32.5,32.65,+,0.2,32.65,3,32.7,8,16.83
2451,創見,"1,880,317","1,393","136,874,419",71.7,73.5,71.6,73.3,+,2.4,73.3,10,73.4,65,24.35
2453,凌群,"534,145",378,"14,173,431",26.7,26.8,26.2,26.5,-,0.2,26.45,18,26.5,7,14.1
2454,聯發科,"7,359,973","10,639","7,283,387,219","1,005.00","1,015.00",976,977,-,18,977,68,978,4,25.44
2455,全新,"4,006,765","2,529","469,994,828",116.5,118.5,115.5,117,+,3.5,116.5,111,117,29,35.14
2456,奇力新,"2,491,498","1,867","249,396,435",100.5,101,99.1,100.5,+,0.9,100.5,7,101,222,15.09
2457,飛宏,"23,958,233","11,668","877,309,627",36.65,37.8,35.65,36.7,+,0.3,36.65,3,36.7,295,
2458,義隆,"2,797,212","2,421","590,616,929",212,214.5,209,209,-,2,209,91,209.5,3,14.2
2459,敦吉,"69,605",60,"3,753,773",53.7,54,53.7,53.9,+,0.2,53.9,3,54,7,11.57
2460,建通,"1,901,837","1,044","67,880,034",35,36.5,34.85,36,+,1,35.95,12,36.05,6,57.14
2461,光群雷,"1,721,610",671,"37,120,159",21.4,22,21,21.75,+,0.55,21.75,15,21.9,18,12.87
2462,良得電,"1,185,046",564,"40,676,345",33.9,34.8,33.8,34.35,+,0.65,34.35,6,34.4,4,42.94
2464,盟立,"9,670,670","5,550","460,161,794",47.75,48.8,46.7,47.35,+,0.95,47.3,2,47.35,57,18.07
2465,麗臺,"9,386,347","5,102","575,987,266",56.9,63.4,56.3,63.4,+,5.7,63.4,"6,351",--,0,32.18
2466,冠西電,"89,000",57,"2,880,100",32.2,32.45,32.2,32.4,+,0.2,32.3,4,32.4,1,294.55
2467,志聖,"592,876",475,"32,245,067",53.9,55.1,53.7,54.4,+,0.8,54.3,7,54.4,17,16.05
2468,華經,"139,048",87,"1,905,092",13.6,13.85,13.55,13.8,+,0.25,13.75,6,13.8,12,30
2471,資通,"139,484",86,"3,678,973",26.5,26.5,26.2,26.4,+,0.05,26.4,10,26.45,1,11.73
2472,立隆電,"802,255",599,"52,847,920",65.7,66.5,65.6,65.9,+,0.3,65.8,9,65.9,2,13.31
2474,可成,"2,122,108","1,614","393,450,244",187,187,184.5,185,+,1,184.5,44,185,11,7.15
2476,鉅祥,"6,517,089","3,044","235,028,003",34.9,36.75,34.9,36.75,+,1.55,36.7,5,36.75,66,15.57
2477,美隆電,"1,041,321",686,"35,178,215",34.5,34.5,33.6,33.7,-,0.45,33.65,11,33.7,5,4.07
2478,大毅,"1,110,334",753,"78,200,037",70.6,71.5,70,70.3,-,0.1,70.2,20,70.3,66,14.89
2480,敦陽科,"239,293",178,"16,649,419",69.8,69.8,69.1,69.7,+,0.5,69.7,2,69.8,33,14.49
2481,強茂,"6,819,289","3,591","354,478,566",51.6,52.9,51.3,52,+,0.8,52,53,52.1,33,15.9
2482,連宇,"99,426",75,"1,105,215",11,11.2,11,11.2,+,0.2,11.15,1,11.2,4,
2483,百容,"96,900",47,"1,932,900",19.9,20.15,19.6,20.15,+,0.3,20,1,20.15,1,91.59
2484,希華,"2,836,588","1,447","81,905,024",28.9,29.2,28.6,28.6,-,0.1,28.6,53,28.65,3,22.52
2485,兆赫,"4,043,934","1,633","80,490,874",19.5,20.25,19.45,19.95,+,0.5,19.9,5,19.95,7,
2486,一詮,"5,929,748","2,570","177,895,790",29.35,30.75,29.35,30,+,0.95,29.95,28,30,54,750
2488,漢平,"149,969",87,"4,508,944",30.2,30.2,29.9,30.05,+,0.05,30.05,10,30.1,1,10.33
2489,瑞軒,"10,890,568","3,794","193,934,428",17.95,18,17.55,17.85,-,0.1,17.8,91,17.85,50,2.52
2491,吉祥全,"1,672,112",943,"46,541,035",28.95,28.95,27.1,28.6,+,0.4,28.6,2,28.65,2,12.43
2492,華新科,"4,824,391","3,342","1,015,123,707",209,213,208,210.5,+,0.5,210,75,210.5,30,12.85
2493,揚博,"434,715",260,"16,498,107",37.75,38.05,37.65,38,+,0.45,38,10,38.05,3,15.38
2495,普安,"14,270,543","2,818","305,251,400",19.9,21.5,19.9,21.5,+,1.95,21.5,564,--,0,26.88
2498,宏達電,"14,489,956","6,787","546,974,118",37.5,38.8,37,37.25,+,0.2,37.25,24,37.3,13,
3002,歐格,"115,038",79,"1,361,801",12,12,11.7,11.8,-,0.1,11.8,1,11.85,1,18.73
3003,健和興,"3,600,469","2,570","267,912,356",73.8,75.4,73.4,74.9,+,0.7,74.8,4,74.9,15,28.26
3005,神基,"846,071",519,"44,010,961",51.8,52.6,51.7,52.4,+,0.7,52.4,9,52.5,31,11.05
3006,晶豪科,"55,059,851","33,838","7,713,609,642",136.5,145.5,134.5,136.5,+,2.5,136.5,60,137,51,26.35
3008,大立光,"429,090","2,439","1,321,925,435","3,050.00","3,110.00","3,050.00","3,065.00",+,35,"3,065.00",7,"3,070.00",2,17.78
3010,華立,"315,101",261,"24,682,025",78,78.6,78,78.5,+,0.6,78.5,3,78.6,23,8.6
3011,今皓,"159,310",82,"1,283,723",8.07,8.2,8,8.15,+,0.08,8.09,1,8.15,1,
3013,晟銘電,"165,825",111,"2,190,509",13.15,13.35,13.05,13.35,+,0.1,13.25,6,13.35,1,36.08
3014,聯陽,"8,214,662","5,221","997,158,123",121,124,119,119.5, ,0,119.5,153,120,36,16.26
