證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1340,勝悅-KY,"179,368",170,"1,917,042",10.7,10.8,10.6,10.8,+,0.1,10.8,8,10.85,17,
1341,富林-KY,"9,000",8,"704,600",79,79,78,78.5, ,0,78.5,1,78.6,1,11.1
4306,炎洲,"5,945,702","1,600","111,671,274",18.65,18.95,18.65,18.7,+,0.1,18.7,184,18.75,13,5.11
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1402,遠東新,"7,978,209","3,548","253,245,263",31.7,32,31.45,31.9,+,0.25,31.85,36,31.9,16,18.44
1409,新纖,"19,652,307","6,362","426,106,991",21.65,21.95,21.35,21.95,+,0.4,21.95,160,22,986,10.07
1410,南染,"23,292",21,"807,341",34.6,34.9,34.55,34.8,+,0.2,34.55,5,34.7,1,36.25
1413,宏洲,"874,830",365,"10,483,518",12,12.25,11.6,12.1,+,0.25,12.1,59,12.15,1,
1414,東和,"2,593,749",956,"46,250,036",17.9,18.15,17.4,18.05,+,0.25,18,25,18.05,95,41.02
1417,嘉裕,"3,228,662","1,132","51,949,858",15.75,16.5,15.55,16.5,+,0.8,16.45,56,16.5,125,
1418,東華,"3,840",6,"42,421",11,11.35,11,11.35,-,0.15,10.8,2,11.4,2,
1419,新紡,"26,036",21,"1,028,818",39.9,39.9,39.35,39.7,-,0.1,39.55,1,39.7,1,28.56
1423,利華,"76,713",65,"1,625,724",21.3,21.3,21.1,21.2,-,0.05,21.2,9,21.3,5,7
1434,福懋,"1,264,996",783,"39,281,046",31,31.2,30.8,31.15,+,0.25,31.15,10,31.2,133,22.57
1439,中和,"44,003",29,"1,053,221",24,24,23.8,24,+,0.05,24.05,1,24.25,1,
1440,南紡,"34,154,046","12,980","954,233,271",28.15,28.45,27.4,28.45,+,0.45,28.45,161,28.5,751,24.11
1441,大東,"1,264,184",581,"14,442,946",11.7,11.75,11.15,11.6,-,0.1,11.6,61,11.7,13,
1444,力麗,"8,775,647","2,483","112,750,597",13,13,12.65,12.85,+,0.05,12.85,114,12.9,49,
1445,大宇,"126,801",64,"1,547,121",12,12.3,11.95,12.25,+,0.25,12.2,1,12.25,1,
1446,宏和,"43,000",24,"1,248,350",29,29.15,28.9,28.9, ,0,28.9,19,29.15,15,321.11
1447,力鵬,"20,793,629","3,600","266,352,844",13,13,12.55,12.85,+,0.15,12.8,241,12.85,310,
1449,佳和,"138,306",89,"2,257,098",15.9,16.7,15.9,16.5,+,0.4,16.45,10,16.55,1,
1451,年興,"1,090,858",574,"23,394,327",21.7,21.85,21,21.65,+,0.05,21.6,3,21.65,2,
1452,宏益,"4,511,843","2,066","109,253,756",24.55,24.85,23.4,24.8,+,0.55,24.8,7,24.85,32,14.42
1454,台富,"126,130",88,"1,297,206",10.5,10.5,10.2,10.35, ,0,10.3,2,10.35,12,
1455,集盛,"64,797,217","21,742","1,655,669,881",25.8,26.25,24.55,26.25,+,1.15,26.25,139,26.3,825,25.74
1457,宜進,"1,680,618",789,"30,379,797",18.25,18.25,17.9,18.05, ,0,18.05,23,18.1,16,5.32
1459,聯發,"1,886,908",745,"26,153,274",14,14.1,13.6,14.05,+,0.15,14,140,14.05,5,14.19
